Airport,State,Index,Country
JCA,LK,47016,QR
MGC,ZO,79344,NW
IMA,ZY,51545,AL
KHC,HN,34238,CN
SLK,VN,72090,YJ
GCX,ZW,46975,QV
KHS,GT,06995,AB
HZL,ZA,81156,DH
QQB,MX,55477,CR
BFC,FU,46975,BZ
AYK,BZ,90718,OP
QNX,LN,77540,CD
BGY,GE,69889,GR
QVC,JA,82667,IL
BPP,PI,40482,CH
ZNQ,MQ,83885,XE
XVS,CN,78720,IA
WYG,WV,49599,PV
RUM,XR,33092,KE
LHW,CI,98247,MW
WCJ,MJ,46313,PL
HDK,OM,64892,AD
VKX,GW,04220,PF
ZIA,HX,39111,QS
AHV,KG,91197,CW
NMQ,YW,65506,HA
IJX,OG,26150,AS
QDD,OU,16934,TL
NUN,EC,64310,IQ
VLF,DW,59471,ID
QXV,BQ,74814,IU
KQL,NW,65613,RQ
ILV,EC,61636,SO
SHV,NC,78970,SS
HWN,TP,28412,CI
UMA,YM,59712,RS
HGT,DS,26548,TL
VPJ,ZR,68939,JL
COL,EP,12059,ST
LWS,MQ,18099,ZA
POZ,YM,82381,EC
YDA,ZV,83668,RH
IBS,NQ,31754,NU
QDS,LD,12961,GI
HLK,AC,37225,HO
NEY,CX,83353,DM
CWD,KQ,89011,KN
BJY,AM,80917,AD
NBG,DM,25971,IX
KSF,ST,69200,GU
AXE,SM,66778,NK
QWT,MV,33313,QP
UOM,ZD,14973,BE
GSZ,VV,80199,WY
FOJ,PZ,11089,TN
GRD,IS,31834,OO
DLG,NT,08723,FC
GYA,MA,32126,MB
ECB,LK,58651,UO
OAO,VW,70168,XF
KQH,YY,02042,EZ
LTQ,CH,86818,JH
AOA,WW,71177,SJ
TPU,KJ,16833,CF
QYH,MD,23750,ZD
DFA,SY,70411,SN
DMY,YK,43405,JD
KYZ,VH,65800,TF
HXP,VJ,85391,DP
SCE,BK,46583,ZQ
JZZ,DF,87433,ST
QXB,MI,43915,NN
MPC,FG,35791,LC
LQB,BF,90454,UL
OUN,EI,10211,EM
ZKI,QY,76232,LH
VYR,HD,57528,MJ
QPO,GK,30851,UT
AWC,ZJ,60632,PV
WSQ,QW,73486,CD
ICL,JF,15245,JB
LRE,SK,76827,II
IEO,CB,02427,EN
LLN,CB,36833,ES
AXE,VI,02242,VY
HJC,HH,72248,ZZ
KFM,LM,72210,KZ
WRB,GP,43977,AQ
AVU,HL,90305,DW
ELN,LS,57417,DP
FFH,BA,73912,NT
RRK,IU,71256,SB
KXQ,UJ,97475,YE
HXQ,IS,08429,CV
WNH,JI,82237,LG
GWL,DL,24252,OV
LYU,JG,70792,RE
PGK,YT,92171,DV
XFT,HT,49972,QS
COQ,SF,37317,XV
HSX,FB,12513,NT
OOM,IK,41207,RI
EIB,JE,31148,OR
OBF,UH,12019,YW
KZB,OH,15075,PC
SJU,IJ,89339,WG
BHL,PV,29383,EZ
JER,XZ,16613,ZD
XML,LY,35888,NS
QKZ,YD,09045,VC
EZV,PS,29964,BA
KUI,QI,25572,DU
OIX,RA,05577,ZQ
KFS,AA,09064,ZO
AJF,VC,38631,DN
XWZ,AJ,22144,DJ
LLH,OX,59200,LN
YOH,NF,57098,XW
XMH,IO,20337,RE
XOC,WX,42632,YY
CEX,GB,40209,JT
NOY,AX,64774,ZD
TAJ,GJ,29437,OH
IEX,UD,29799,EX
URR,IZ,46334,MH
MQX,VG,88051,RI
GKY,HK,71901,GR
QZA,TG,45342,RG
BHA,NX,59886,ZJ
BAS,RA,90250,NU
SPT,VM,94373,CM
MWD,YP,17378,AN
CMV,KJ,69389,GX
CBL,CP,11359,XN
RGU,ZS,94332,XF
WYV,TK,68208,OE
GCV,WD,26258,DM
DPH,IS,01515,GH
YJI,ME,43239,MO
SMF,XB,03006,HT
FFO,EI,42189,WF
YJC,PC,95953,QM
JGZ,LP,19998,PY
DQU,RZ,75168,ZZ
HOE,ZH,21805,VB
BPV,XL,16594,ZO
QBN,OF,68064,TV
UMA,ZZ,15749,JC
CNE,WW,43583,RY
BCW,KE,73664,CH
HGY,JF,72874,XQ
BKX,NA,06534,EL
BTT,BK,71868,RT
CLG,JB,48489,LX
TMX,BJ,56591,OI
UOG,FY,72087,GC
REC,YC,69440,ZU
KSC,DY,02898,XF
PGU,RJ,69754,KC
VID,AA,44234,OW
RNB,PQ,71137,DO
BKJ,UH,52648,GN
OIV,FG,51486,TH
FEI,ZK,76262,EO
UQX,HN,78978,OL
INO,OA,81457,DI
YYP,WF,43397,TY
ZNC,VK,32869,CS
JKG,DK,93992,TG
HRW,AL,31719,RO
JCF,XH,74830,QO
YCM,ZM,86203,ZE
MUS,ET,12590,QR
FLA,SW,96895,MZ
EEQ,IB,40977,FT
UFX,UZ,41899,GZ
XIS,QA,13495,IZ
YYL,HI,35434,DW
ZHD,AD,60133,QI
MJW,KM,88230,DX
EEX,EQ,23970,BV
EFS,DJ,70332,RY
XZQ,MO,65625,IN
NUF,XS,04643,BQ
VJV,JX,69260,XU
PYP,HK,00285,MX
XQF,KB,97272,KJ
GPA,JA,53784,FB
ALP,CC,99006,PM
PZG,RF,74680,SV
RLD,UR,70856,GZ
YSY,QF,97360,RM
DDY,BC,82818,ST
AMK,WF,15443,NK
DTQ,PI,44666,SU
IXN,MR,93733,FM
NLC,JL,94699,VE
JDZ,TU,78080,XC
OOL,MN,35152,UK
XEG,IA,91416,ZI
BUB,IC,09601,CG
DJV,TF,14497,OH
UJO,MK,56351,ZB
IPX,JQ,55814,JR
VOH,SM,14155,LR
WXY,JY,08888,ES
SVI,LD,74877,UK
HFZ,UL,84950,UX
TZL,HQ,08246,RZ
AOM,AS,39466,VX
IXJ,KJ,31368,TZ
QRM,QU,13328,CS
HKD,QO,97859,FC
UIS,LD,29582,ZR
RBX,DZ,82573,OH
EAO,AZ,56721,WH
UOL,NS,96378,XO
IVD,DB,91762,QW
KFT,GR,55393,CW
LXF,EN,83879,MS
DIO,AM,76192,FN
KJW,VN,96562,BI
XTR,IA,09974,VT
HGL,GA,13956,IN
KQO,UN,84856,IJ
WSZ,QL,18691,EA
HGC,GE,42778,MQ
GVE,LK,40590,IG
VCZ,VJ,26679,WB
VJB,UA,48018,QJ
BBW,QL,47122,NV
SQY,IG,99552,JR
DOA,ZK,21587,YQ
LAU,YZ,64754,XE
DTR,CG,84025,PW
IBU,GT,70501,CF
UIJ,HQ,65354,NL
FYE,LK,65659,BI
ERS,HB,51752,EK
MRB,RI,37089,JC
TJM,YJ,56405,TQ
MEB,JB,89464,OM
PDO,LG,98903,QJ
CDR,DE,51982,MA
WUM,WK,70711,XT
TGU,EF,92752,MM
YMH,AC,10367,NC
MKN,CF,96050,VA
CQR,KG,55097,LW
IBX,NH,39477,PA
HPI,VM,61417,PV
IHF,GY,71488,DV
KGD,OF,49668,KQ
XOY,WI,76862,HQ
ZLC,AR,77750,JZ
TWZ,CO,71331,NC
OMZ,UK,70658,BT
PQG,SB,29182,CO
XBD,ZU,89491,KM
SRD,XN,55188,ZE
XIN,TK,55630,LV
UOI,LU,52635,SH
YSP,NI,60733,NO
SRP,QN,51056,UW
GCA,ZU,26033,NL
PIR,DW,82991,OP
BIU,JU,33553,YR
FGK,DP,97677,EO
TYQ,JQ,31003,OJ
DEI,QK,43434,LJ
IAO,RN,70593,MD
NEI,MP,64345,IO
GKP,IL,42501,NS
SNU,JA,59141,YM
BLG,SC,73146,XX
MLD,CV,27264,UG
IJW,JT,83305,QX
OQC,GM,11422,AV
JYY,WE,93923,LZ
BSB,FJ,07408,IE
DRH,SM,42902,OF
BVM,MD,22203,NY
ARL,UC,90427,TZ
NQK,LV,53772,WU
KKD,HL,11712,RY
KZF,QW,42916,ZW
BSS,QD,77769,BF
WEW,VG,13797,DA
EJE,AY,15186,NN
SYF,OP,67451,CN
OBU,KP,31429,SD
VIF,WQ,21435,YR
CWS,MW,10726,ZA
CPC,JG,77972,KY
JMP,OB,50266,LE
HMU,SS,49477,SW
ALA,SB,98531,AO
DMI,AI,57549,IE
OAK,TA,86477,US
RMM,SL,74478,DQ
ZIW,DC,24269,WJ
JDY,CC,87776,CF
KTY,UY,35828,VY
ZTN,BP,69023,HZ
DWS,NY,44192,ND
TTR,XJ,65131,TS
XWP,SW,73328,XQ
IRC,AB,90281,WP
ZHE,SZ,84106,VL
VCR,MT,39686,DV
TME,IN,52291,HK
DRP,HF,04052,SG
VPF,EC,83085,ZN
HWA,TD,72237,HR
UKQ,PK,59538,IV
XPN,UF,58541,HU
ZHT,WK,22352,NK
DLQ,HZ,15189,NH
RJR,YX,01016,ZU
JQX,ID,21425,CJ
SBR,LB,98976,IC
WSE,LA,39276,OJ
MMF,XY,76548,ZH
WSZ,SV,98424,EN
YNF,KZ,99435,TF
NAM,WL,24609,RF
JPZ,RP,36813,VD
KYO,AQ,91780,YH
UZR,PX,87712,PF
NBQ,VK,15826,AT
KJU,XM,52397,UC
YHB,ES,98050,BL
REO,CG,97635,FY
LCR,EL,87504,YS
OHI,CV,42224,BX
IHB,FV,42554,GP
BUY,UF,97977,ZL
SCG,QV,70970,IK
BAO,MM,74134,OT
STR,SP,89191,CU
NHO,JG,58904,UJ
EPC,BS,43380,UM
TVC,JY,54889,EI
IGO,TR,52412,VJ
MZW,VC,12610,OF
POM,OB,66985,QG
TRJ,PF,04198,RY
YBI,RZ,50951,KR
ZOT,YM,06714,RC
CDJ,LK,74120,YG
VWL,OV,01285,NI
NJJ,CO,36094,IX
ZFF,LY,13580,GB
PAS,QX,58082,KA
FEL,ZU,61017,GQ
QRC,XT,62897,MB
OSH,ZX,37404,JV
FUL,NB,62184,ZS
WQW,OE,16386,EJ
TXR,GI,48290,NU
ZNO,EC,60078,HZ
HBE,UW,82757,FE
UUN,PE,55350,IF
KJD,XN,76573,IA
JJN,AI,01128,LF
RKT,XG,77565,SG
ZRG,SJ,27472,AH
EVM,GD,79232,MB
NBG,WF,57197,TK
